Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,Dropout,Epochs,Learning Rate,embedding_size,freeze_embedding,hidden1_size,hidden2_size,hidden3_size,hidden4_size,model_name,optimizer,train_bas,train_loss,validation_bas,validation_loss
2022-11-06 23:28:54,9.0min,66d1e6b7b89f4a19a0ea651723433e7f,casual-horse-123,LOCAL,/users/cdagatti/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,cdagatti,FINISHED,,5,0.001,300,True,512,512,,,mlp10_Muestras,optim.Adam_lr=0.001_wd=1e-5,0.6648374782308731,1.4855258128378126,0.6384472723129162,1.7365464925018597
2022-11-06 23:14:42,11.7min,19c0949960304772bc9492e1812dc3f6,rare-flea-512,LOCAL,/users/cdagatti/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,cdagatti,FINISHED,,5,0.001,300,True,2048,2048,,,mlp9_Muestras,optim.Adam_lr=0.001_wd=1e-5,0.7099618003880486,1.1680685530145183,0.6605021956118036,1.57169450456695
2022-11-06 22:56:18,13.6min,aa41e0154f2248e7b1ff3dca8dd09b2d,orderly-ray-347,LOCAL,/users/cdagatti/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,cdagatti,FINISHED,,5,0.001,300,True,1024,2048,,,mlp8_Muestras,optim.Adam_lr=0.001_wd=1e-5,0.716665182080731,1.1471566843519023,0.6735581479547555,1.528190233428401
2022-11-06 11:55:21,1.7h,037b3e154ffe4fd6b8d25b063960e32b,dashing-mule-975,LOCAL,/users/cdagatti/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,cdagatti,FINISHED,,5,0.001,300,True,2048,512,,,mlp_completo,optim.Adam_lr=0.001_wd=1e-5,0.7355812449469811,1.1251221098795734,0.7325758536640662,1.1718407384186353
2022-11-06 11:37:27,2.0h,f8bc134f9e8c4f0280994e333f56d471,auspicious-mink-306,LOCAL,/users/cdagatti/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,cdagatti,FINISHED,,50,0.001,300,False,2048,1024,,,mlp7_Muestras,optim.Adam_lr=0.001_wd=1e-5,0.9625585157709854,0.11770313209007963,0.8446552390555292,0.8631278483845224
2022-11-06 10:27:49,1.1h,2f77a2920a384c0e9b94631c8caac585,wistful-stag-59,LOCAL,/users/cdagatti/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,cdagatti,FINISHED,,50,0.001,300,True,2048,1024,,,mlp6_Muestras,optim.Adam_lr=0.001_wd=1e-5,0.8300726141683874,0.6184992265623379,0.7046366982716442,1.700632928805416
2022-11-05 22:22:21,26.3min,0e51f3c84bbb46f5b9802c447c9a8c90,luminous-stag-45,LOCAL,/users/cdagatti/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,cdagatti,FINISHED,,20,0.001,300,False,2048,1024,,,mlp6_Muestras,optim.Adam_lr=0.001_wd=1e-5,0.941932443140022,0.18311594734491865,0.8493751623978062,0.7446396691236127
2022-11-05 19:51:27,22.7min,886bcf87bfc54a2d8ed0d4c56ed8ff3c,smiling-wolf-459,LOCAL,/users/cdagatti/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,cdagatti,FINISHED,,20,0.001,300,True,2048,1024,,,mlp6_Muestras,optim.Adam_lr=0.001_wd=1e-5,0.7454059351465387,1.003906334474975,0.5871738054901358,2.639659843101023
2022-11-05 19:19:22,13.3min,7deb0fec09424f3396b4a832f9d06ee7,rogue-ant-731,LOCAL,/users/cdagatti/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,cdagatti,FINISHED,,10,0.001,300,True,2048,1024,,,mlp6_Muestras,optim.Adam_lr=0.001_wd=1e-5,0.6849371150124463,1.3139448569958505,0.569138888331731,2.421998717692703
2022-11-05 18:10:33,7.8min,108b59ab364741c18718aa6f6dd71889,dashing-chick-489,LOCAL,/users/cdagatti/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,cdagatti,FINISHED,,5,0.01,300,True,2048,1024,,,mlp5_Muestras,optim.Adam_lr=0.01_wd=1e-5,0.32527899581575515,3.555663616080689,0.31603107283944915,3.638539095283676
